Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1993,1993,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1994,1994,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1995,1995,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1996,1996,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1997,1997,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1998,1998,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1999,1999,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2000,2000,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2001,2001,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2002,2002,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2003,2003,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2004,2004,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2005,2005,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2006,2006,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2007,2007,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2008,2008,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2009,2009,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2010,2010,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2011,2011,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2012,2012,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2013,2013,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2014,2014,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2015,2015,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2016,2016,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2017,2017,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2018,2018,tonnes,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1961,1961,ha,82600,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1962,1962,ha,82600,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1963,1963,ha,82200,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1964,1964,ha,79700,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1965,1965,ha,71200,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1966,1966,ha,44900,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1967,1967,ha,38900,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1968,1968,ha,38000,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1969,1969,ha,40900,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1970,1970,ha,40100,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1971,1971,ha,40100,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1972,1972,ha,37683,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1973,1973,ha,37573,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1974,1974,ha,37116,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1975,1975,ha,37336,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1976,1976,ha,37049,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1977,1977,ha,37387,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1978,1978,ha,37118,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1979,1979,ha,36661,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1980,1980,ha,36227,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1981,1981,ha,36432,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1982,1982,ha,35368,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1983,1983,ha,35613,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1984,1984,ha,35182,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1985,1985,ha,34559,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1986,1986,ha,33945,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1987,1987,ha,34233,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1988,1988,ha,34648,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1989,1989,ha,34800,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1990,1990,ha,34912,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1991,1991,ha,35813,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1992,1992,ha,35916,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1993,1993,ha,35813,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1994,1994,ha,35600,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1995,1995,ha,36000,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1996,1996,ha,36400,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1997,1997,ha,36000,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1998,1998,ha,36000,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,1999,1999,ha,77000,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2000,2000,ha,77000,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2001,2001,ha,77800,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2002,2002,ha,77296,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2003,2003,ha,77296,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2004,2004,ha,77700,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2005,2005,ha,167640,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2006,2006,ha,168680,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2007,2007,ha,165270,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2008,2008,ha,173380,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2009,2009,ha,176350,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2010,2010,ha,178630,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2011,2011,ha,182389,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2012,2012,ha,222570,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2013,2013,ha,238760,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2014,2014,ha,230670,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2015,2015,ha,238760,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2016,2016,ha,238760,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2017,2017,ha,222570,,Official data
QC,Crops,16,Bangladesh,5312,Area harvested,226,Areca nuts,2018,2018,ha,228371,Im,FAO data based on imputation methodology
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1961,1961,hg/ha,7627,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1962,1962,hg/ha,6765,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1963,1963,hg/ha,7169,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1964,1964,hg/ha,7139,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1965,1965,hg/ha,6564,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1966,1966,hg/ha,5431,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1967,1967,hg/ha,6922,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1968,1968,hg/ha,7487,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1969,1969,hg/ha,6455,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1970,1970,hg/ha,6580,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1971,1971,hg/ha,5828,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1972,1972,hg/ha,5692,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1973,1973,hg/ha,5736,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1974,1974,hg/ha,5771,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1975,1975,hg/ha,6006,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1976,1976,hg/ha,6414,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1977,1977,hg/ha,6865,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1978,1978,hg/ha,6958,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1979,1979,hg/ha,7217,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1980,1980,hg/ha,6561,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1981,1981,hg/ha,6876,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,226,Areca nuts,1982,1982,hg/ha,6812,Fc,Calculated data
